show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,is_emea,genres_list
s3522,TV Show,Marianne,,"Victoire Du Bois, Lucie Boujenah, Tiphaine Daviot, Ralph Amoussou, Bellamine Abdelmalek, Mehdi Meskar, Alban Lenoir, Mireille Herbstmeyer, Corinne Valancogne, Patrick d'Assumçao, Pierre Aussedat",France,"September 13, 2019",2019,TV-MA,1 Season,"International TV Shows, TV Dramas, TV Horror","Lured back to her hometown, a famous horror writer discovers that the evil spirit who plagues her dreams is now wreaking havoc in the real world.",True,"['International TV Shows', 'TV Dramas', 'TV Horror']"
s3529,Movie,Bill Burr: Paper Tiger,Mike Binder,Bill Burr,"United States, United Kingdom","September 10, 2019",2019,TV-MA,67 min,Stand-Up Comedy,"Bill Burr unloads on outrage culture, male feminism, cultural appropriation, robot sex and more in a blistering stand-up special shot in London.",True,['Stand-Up Comedy']
s3530,Movie,Evelyn,Orlando von Einsiedel,,United Kingdom,"September 10, 2019",2019,TV-MA,96 min,"Documentaries, International Movies","Haunted by the suicide of a brother, a director and his kin walk across the U.K. in an emotionally trying, visually sublime journey toward healing.",True,"['Documentaries', 'International Movies']"
s3534,Movie,Kill Me If You Dare,Şenol Sönmez,"Murat Boz, Seda Bakan, Açelya Topaloğlu, Özgür Emre Yıldırım, Seda Güven, Yosi Mizrahi, Dilşad Şimşek, Ali Yoğurtçuoğlu",Turkey,"September 6, 2019",2019,TV-14,100 min,"Comedies, International Movies, Romantic Movies","Bogged down with money problems, a couple grows cautious of each other but hit the lottery and decide to stay together – till death do they part.",True,"['Comedies', 'International Movies', 'Romantic Movies']"
s3535,TV Show,The Spy,,"Sacha Baron Cohen, Noah Emmerich, Hadar Ratzon Rotem, Alexander Siddig, Waleed Zuaiter, Nassim Lyes",France,"September 6, 2019",2019,TV-MA,1 Season,"International TV Shows, TV Dramas, TV Thrillers","In the 1960s, Israeli clerk-turned-secret agent Eli Cohen goes deep undercover inside Syria on a perilous, years-long mission to spy for Mossad.",True,"['International TV Shows', 'TV Dramas', 'TV Thrillers']"
s3544,TV Show,Serial Killer with Piers Morgan,,Piers Morgan,United Kingdom,"September 1, 2019",2018,TV-14,1 Season,"British TV Shows, Crime TV Shows, Docuseries","Through intense prison interviews, Piers Morgan revisits the crimes of three convicted serial killers and learns more about their motives.",True,"['British TV Shows', 'Crime TV Shows', 'Docuseries']"
s3546,Movie,Uncle Naji in UAE,Ahmed Zain,"Ibrahim Almeirasi, Ahmed Saif, Alia Almannai, Mohamed Morshed, Mohamed Alkendi, Tariq Almuhairi",United Arab Emirates,"September 1, 2019",2019,TV-14,95 min,"Comedies, International Movies","Two young Yemeni business partners decide to go on vacation in the UAE with a few local friends, but their fun trip soon turns terrifying.",True,"['Comedies', 'International Movies']"
s3547,TV Show,Luo Bao Bei,,"Hana Burnett, Natalia-Jade Jonathan, Leo Tang, Gok Wan, Ching-He Huang, Pik Sen Lim, David Yip","China, United Kingdom","August 31, 2019",2018,TV-Y,1 Season,"British TV Shows, Kids' TV","A bright and spirited seven-year-old girl uses her vivid, dreamlike imagination to navigate everyday adventures alongside her real and imaginary BFFs.",True,"['British TV Shows', ""Kids' TV""]"
s3552,TV Show,The Dark Crystal: Age of Resistance,,"Taron Egerton, Nathalie Emmanuel, Anya Taylor-Joy, Donna Kimball, Mark Hamill, Simon Pegg, Helena Bonham Carter, Lena Headey, Alicia Vikander, Awkwafina, Gugu Mbatha-Raw, Benedict Wong, Caitriona Balfe, Natalie Dormer, Harvey Fierstein, Andy Samberg, Ralph Ineson, Jason Isaacs, Eddie Izzard, Theo James, Hannah John-Kamen, Toby Jones, Keegan-Michael Key, Mark Strong, Sigourney Weaver, Ólafur Darri Ólafsson","United Kingdom, United States","August 30, 2019",2019,TV-PG,1 Season,"TV Action & Adventure, TV Dramas, TV Sci-Fi & Fantasy","As power-hungry overlords drain life from the planet Thra, a group of brave Gelfling unite on a quest to save their world and fight off the darkness.",True,"['TV Action & Adventure', 'TV Dramas', 'TV Sci-Fi & Fantasy']"
s3555,Movie,Unbridled,Jota Linares,"Natalia de Molina, Daniel Grao, Natalia Mateo, Ignacio Mateos, Borja Luna, Mario Tardón, Mariana Cordero",Spain,"August 30, 2019",2018,TV-MA,100 min,"International Movies, Thrillers","Desperate to keep her husband’s secret, a devoted politician’s wife struggles to stave off threats that could ruin their promising new life.",True,"['International Movies', 'Thrillers']"
s3559,TV Show,Million Pound Menu,,,United Kingdom,"August 27, 2019",2019,TV-MA,2 Seasons,"British TV Shows, International TV Shows, Reality TV",Next-gen restaurateurs get the chance to open their own pop-up eateries to impress the paying public – and a panel of discerning U.K. investors.,True,"['British TV Shows', 'International TV Shows', 'Reality TV']"
s3570,Movie,Game Over (Tamil Version),Ashwin Saravanan,"Taapsee Pannu, Vinodhini, Parvathi T, Ramya Subramanian, Sanchana Natarajan, Anish Kuruvilla, David Solomon Raja","India, Turkey","August 21, 2019",2019,TV-MA,98 min,"Horror Movies, International Movies, Thrillers","As a series of murders hit close to home, a video game designer with post-traumatic stress must confront her demons, or risk becoming their victim.",True,"['Horror Movies', 'International Movies', 'Thrillers']"
s3574,Movie,Our Planet - Behind The Scenes,,David Attenborough,United Kingdom,"August 20, 2019",2019,TV-G,63 min,Documentaries,Years spent recording footage of creatures from every corner of the globe is bound to produce a bit of drama. Here's a behind-the-scenes look.,True,['Documentaries']
s3575,Movie,Simon Amstell: Set Free,Julia Knowles,Simon Amstell,United Kingdom,"August 20, 2019",2019,TV-MA,52 min,Stand-Up Comedy,"Honest, introspective comic Simon Amstell digs deep and delivers a uniquely vulnerable stand-up set on love, ego, intimacy and ayahuasca.",True,['Stand-Up Comedy']
s3576,TV Show,45 rpm,,"Carlos Cuevas, Guiomar Puerta, Iván Marcos, Israel Elejalde, Eudald Font, Luis Larrodera, Carmen Gutiérrez, Diana Gómez, Vito Sanz, Marina San José, Pere Ponce, Joan Pera",Spain,"August 16, 2019",2019,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows","In 1960s Madrid, music producer Guillermo Rojas launches a rock 'n' roll label with the help of aspiring singer Robert and clever producer Maribel.",True,"['International TV Shows', 'Romantic TV Shows', 'Spanish-Language TV Shows']"
s3578,TV Show,Better Than Us,,"Paulina Andreeva, Kirill Käro, Aleksandr Ustyugov, Olga Lomonosova, Eldar Kalimulin, Vitaliya Kornienko, Vera Panfilova, Aleksandr Kuznetsov, Fyodor Lavrov, Sergey Sosnovskiy, Kirill Polukhin, Pavel Vorontsov",Russia,"August 16, 2019",2019,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas","A family on the brink of splitting up become the owners of a cutting-edge robot being sought by a corporation, homicide investigators and terrorists.",True,"['Crime TV Shows', 'International TV Shows', 'TV Dramas']"
s3587,Movie,The Little Switzerland,Kepa Sojo,"Jon Plazaola, Maggie Civantos, Ingrid García Jonsson, Lander Otaola, Secun de la Rosa, Ramón Barea, Maribel Salas, Mikel Losada, Pepe Rapazote, Enrique Villén, Kandido Uranga, Anabela Teixeira, Karra Elejalde, Antonio Resines",Spain,"August 16, 2019",2019,TV-MA,86 min,"Comedies, International Movies",The discovery of the tomb of William Tell’s son in a town in the Basque Country spurs the village's cantankerous citizens to lobby for Swiss annexation.,True,"['Comedies', 'International Movies']"
s3588,TV Show,Victim Number 8,,"César Mateo, María de Nati, Verónika Moral, Iñaki Ardanaz, Farah Hamed, Lisi Linder, Khaled Kouka, Óscar Zafra, Jesús Ruyman, Alfonso Torregrosa, Itziar Lazkano, Son Khoury, Youssef Bougarouane, Marcial Álvarez",Spain,"August 16, 2019",2018,TV-MA,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Action & Adventure",No one can be trusted after a terrorist bombing in Bilbao kills seven and destroys the lives of the suspected jihadi and everyone around him.,True,"['International TV Shows', 'Spanish-Language TV Shows', 'TV Action & Adventure']"
s3608,TV Show,Dollar,,"Adel Karam, Amel Bouchoucha",Lebanon,"August 8, 2019",2019,TV-MA,1 Season,"International TV Shows, TV Dramas",Beautiful executive assistant Zeina reluctantly teams up with the self-assured Tarek to chase down an elusive dollar bill worth $1 million.,True,"['International TV Shows', 'TV Dramas']"
s3627,Movie,Misfit,Erwin van den Eshof,"Djamila, Niek Roozen, Bente Fokkens, Jolijn Henneman, Fenna Ramos, Jill Schirnhofer, Donny Roelvink, Défano Holwijn, Luca Gilliot",Netherlands,"August 3, 2019",2017,TV-14,81 min,"Children & Family Movies, Comedies, International Movies","After living in America for years, a teenage girl moves back to the Netherlands and is quickly singled out as a misfit by the popular clique at school.",True,"['Children & Family Movies', 'Comedies', 'International Movies']"
s3630,Movie,Otherhood,,,"United Kingdom, United States","August 2, 2019",2019,R,101 min,Comedies,"Feeling forgotten on Mother's Day, three best friends leave the suburbs and drive to New York City to surprise their adult sons.",True,['Comedies']
s3638,Movie,Boi,Jorge M. Fontana,"Bernat Quintana, Adrian Pang, Andrew Lua, Rachel Lascar, Fina Rius, Miranda Gas",Spain,"July 26, 2019",2018,TV-MA,111 min,"Dramas, Independent Movies, International Movies",A young chauffeur who's at a crossroads in his life escorts a pair of clients around Barcelona and becomes embroiled in their mysterious quest.,True,"['Dramas', 'Independent Movies', 'International Movies']"
s3640,Movie,Girls With Balls,Olivier Afonso,"Victor Artus Solaro, Manon Azem, Louise Blachère, Tiphaine Daviot, Margot Dufrene, Anne-Solenne Hatte, Camille Razat, Dany Verissimo-Petit, Denis Lavant, Aurélien Cotentin, Mathieu Madénian, Thomas Vandenberghe","France, Belgium","July 26, 2019",2019,TV-MA,77 min,"Comedies, Horror Movies, International Movies","Stranded in the woods and eyeballed by twisted hunters, members of a women’s volleyball team bump it up in the most dangerous game of their lives.",True,"['Comedies', 'Horror Movies', 'International Movies']"
s3653,Movie,"¡Ay, mi madre!",Frank Ariza,"Estefanía de los Santos, Secun de la Rosa, Terele Pávez, María Alfonsa Rosso, Mariola Fuentes, Alfonso Sánchez, Paz Vega, Marta Torné, Concha Galán",Spain,"July 19, 2019",2019,TV-MA,81 min,"Comedies, International Movies","When her estranged mother suddenly dies, a woman must follow the quirky instructions laid out in the will in order to collect an important inheritance.",True,"['Comedies', 'International Movies']"
s3669,Movie,4L,Gerardo Olivares,"Jean Reno, Hovik Keuchkerian, Susana Abaitua, Juan Dos Santos, Arturo Valls, Enrique San Francisco, Francesc Garrido, Eric Nguyen",Spain,"July 12, 2019",2019,TV-MA,105 min,"Comedies, Dramas, Independent Movies","Hoping to reunite with a dying friend, two longtime pals re-create their desert road trip from Spain to Mali, bringing along his estranged daughter.",True,"['Comedies', 'Dramas', 'Independent Movies']"
s3670,TV Show,Bonus Family,,"Vera Vitali, Erik Johansson, Fredrik Hallgren, Petra Mede, Frank Dorsin, Jacob Lundqvist, Amanda Lindh, Marianne Mörck, Barbro Svensson, Ann Petrén, Johan Ulveson, Leo Razzak, Felix Engström",Sweden,"July 12, 2019",2019,TV-MA,3 Seasons,"International TV Shows, TV Dramas","A new couple, their exes and their children navigate the emotional challenges and tricky logistics of blended family life in this Swedish dramedy.",True,"['International TV Shows', 'TV Dramas']"
s3671,Movie,Cities of Last Things,Wi Ding Ho,"Jack Kao, Lee Hong-chi, Louise Grinberg, Huang Lu, Ding Ning","Taiwan, China, France, United States","July 12, 2019",2018,TV-MA,106 min,"Dramas, Independent Movies, International Movies","In a dystopian tale unfolding in reverse chronology, a man with a complicated past takes revenge on the individuals who wronged him decades ago.",True,"['Dramas', 'Independent Movies', 'International Movies']"
s3673,Movie,Kidnapping Stella,Thomas Sieben,"Max von der Groeben, Jella Haase, Clemens Schick",Germany,"July 12, 2019",2019,TV-MA,90 min,"Dramas, International Movies, Thrillers","Snatched off the street and held for ransom, a bound and gagged woman uses her limited powers to derail her two masked abductors' carefully laid plans.",True,"['Dramas', 'International Movies', 'Thrillers']"
s3676,Movie,Point Blank,Joe Lynch,"Frank Grillo, Anthony Mackie, Marcia Gay Harden, Teyonah Parris, Boris McGiver, Christian Cooke, Markice Moore","France, United States","July 12, 2019",2019,TV-MA,87 min,Action & Adventure,"To save his pregnant wife, an emergency room nurse unwillingly partners with an injured murder suspect in a race against time and renegade cops.",True,['Action & Adventure']
s3677,Movie,The Milk System,Andreas Pichler,,"Germany, Italy","July 12, 2019",2017,TV-14,91 min,"Documentaries, International Movies","Farmers, scientists and industry insiders delve into the hidden costs and consequences of global dairy production and offer up possible solutions.",True,"['Documentaries', 'International Movies']"
s3679,Movie,Parchís: the Documentary,Daniel Arasanz,,Spain,"July 11, 2019",2019,TV-14,106 min,"Documentaries, International Movies, Music & Musicals","The spotlight's on Parchís, a record company-created Spanish boy/girl band that had unprecedented success with Top 10 songs and hit films in the '80s.",True,"['Documentaries', 'International Movies', 'Music & Musicals']"
s3695,TV Show,Molang,,Bruno Guéraçague,France,"July 1, 2019",2015,TV-Y,1 Season,Kids' TV,"An imaginative, big-hearted bunny and his friend, a shy chick, explore the everyday joys of their pastel-colored world.",True,"[""Kids' TV""]"
s3696,TV Show,Rabbids Invasion,,"Damien Laquet, David Gasman, Barbara Scaff",France,"July 1, 2019",2018,TV-Y7,1 Season,"Kids' TV, TV Comedies","Giant, rambunctious rabbits have invaded and are wreaking havoc on the world. But we'll have to get used to them, because they're not going anywhere!",True,"[""Kids' TV"", 'TV Comedies']"
s3704,Movie,El testigo,Kate Horne,Jesús Abad Colorado,"Colombia, Peru, United Kingdom","June 28, 2019",2018,TV-14,73 min,"Documentaries, International Movies",Colombian photojournalist Jesús Abad Colorado shares the stories behind a series of civil war photographs he captured throughout the '80s and '90s.,True,"['Documentaries', 'International Movies']"
s3709,TV Show,Paquita Salas,,"Brays Efe, Belén Cuesta, Lidia San José, Álex de Lucas, Mariona Terés",Spain,"June 28, 2019",2018,TV-MA,3 Seasons,"International TV Shows, Spanish-Language TV Shows, TV Comedies","One of Spain's best talent agents in the '90s, Paquita now finds herself searching desperately for new stars after suddenly losing her biggest client.",True,"['International TV Shows', 'Spanish-Language TV Shows', 'TV Comedies']"
s3710,Movie,ANIMA,Paul Thomas Anderson,Thom Yorke,United Kingdom,"June 27, 2019",2019,TV-PG,15 min,"Dramas, Independent Movies, Music & Musicals","In a short musical film directed by Paul Thomas Anderson, Thom Yorke of Radiohead stars in a mind-bending visual piece. Best played loud.",True,"['Dramas', 'Independent Movies', 'Music & Musicals']"
s3731,Movie,The Wolf's Call,Antonin Baudry,"François Civil, Omar Sy, Mathieu Kassovitz, Reda Kateb, Paula Beer, Alexis Michalik, Jean-Yves Berteloot, Damien Bonnard, Pierre Cevaër, Sébastien Libessart",France,"June 20, 2019",2019,TV-14,116 min,"Dramas, International Movies, Thrillers","With nuclear war looming, a military expert in underwater acoustics strives to prove things aren't as they seem – or sound – using only his ears.",True,"['Dramas', 'International Movies', 'Thrillers']"
s3736,Movie,Right Here Right Now,Jakob Lass,"Niklas Bruhn, David Schütter, Tinka Furst, Corinna Harfouch, Bela B. Felsenheimer, Martina Schöne-Radunski, Mathias Bloech, Tanna Barthel, Felix Maria Zeppenfeld, Kalle Schwensen",Germany,"June 16, 2019",2018,TV-MA,91 min,"Comedies, Dramas, Independent Movies","The owner of a failing music club throws one last blowout, bringing together friends, foes and hard-partying weirdos for an unhinged New Year's Eve.",True,"['Comedies', 'Dramas', 'Independent Movies']"
s3739,Movie,Life Overtakes Me,"John Haptas, Kristine Samuelson",,"Sweden, United States","June 15, 2019",2019,TV-PG,40 min,Documentaries,"In the grip of trauma, hundreds of refugee children in Sweden withdraw from life's uncertainties into a coma-like illness called Resignation Syndrome.",True,['Documentaries']
s3744,TV Show,The Alcàsser Murders,Elías León,,Spain,"June 15, 2019",2019,TV-MA,1 Season,"Crime TV Shows, Docuseries, International TV Shows",New interviews and an up-to-date analysis of evidence shed light on the 1992 murders of three girls in Spain and their profound impact on the nation.,True,"['Crime TV Shows', 'Docuseries', 'International TV Shows']"
s3745,TV Show,Unit 42,,"Patrick Ridremont, Constance Gay, Tom Audenaert, Roda Fawaz, Danitza Athanassiadis",Belgium,"June 15, 2019",2017,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",A widowed cop tapped to lead a special cybercrimes unit teams up with a former hacker to hunt down tech-savvy criminals who are terrorizing Belgium.,True,"['Crime TV Shows', 'International TV Shows', 'TV Dramas']"
s3747,TV Show,Black Spot,,"Suliane Brahim, Hubert Delattre, Laurent Capelluto, Samuel Jouy, Renaud Rutten, Camille Aguilar, Tiphaine Daviot, Naidra Ayadi, Brigitte Sy, Anne Suarez, Dan Herzberg, Olivier Bonjour, Thomas Doret","France, Belgium","June 14, 2019",2019,TV-MA,2 Seasons,"Crime TV Shows, International TV Shows, TV Dramas",A police chief and an eccentric new prosecutor investigate a string of grisly crimes and eerie phenomena in an isolated town at the edge of a forest.,True,"['Crime TV Shows', 'International TV Shows', 'TV Dramas']"
s3756,TV Show,Jinn,,"Salma Malhas, Sultan Alkhail, Hamzeh Okab, Aysha Shahaltough, Zaid Zoubi, Ban Halaweh, Yasser Al Hadi",Jordan,"June 13, 2019",2019,TV-MA,1 Season,"International TV Shows, TV Dramas, TV Mysteries","On a field trip to Petra, two jinns – one good, the other evil – enter the human realm, turning high school into a supernatural battleground.",True,"['International TV Shows', 'TV Dramas', 'TV Mysteries']"
s3762,Movie,Belmonte,Federico Veiroj,"Gonzalo Delgado, Olivia Molinaro Eijo, Jeannette Sauksteliskis, Tomás Wahrmann, María Noel Gutiérrez, Marcelo Fernández Borsari, Alejandro Castiglioni, Cecilia Caballero Jeske, Martín Reyes, Carolina Penadés","Uruguay, Spain, Mexico","June 7, 2019",2018,TV-MA,74 min,"Dramas, Independent Movies, International Movies",An artist muddles through a midlife crisis while trying to balance his dimming career with a yearning to be a better father.,True,"['Dramas', 'Independent Movies', 'International Movies']"
s3764,Movie,Elisa & Marcela,Isabel Coixet,"Natalia de Molina, Greta Fernández, Sara Casasnovas, Tamar Novas, Kelly Lua, Manuel Lourenzo, Jorge Suquet, Ana Santos, Mariana Carballal, Roberto Leal, Luisa Merelas, Amparo Moreno, Lluís Homar, Manolo Solo, María Pujalte, Francesc Orella",Spain,"June 7, 2019",2019,TV-MA,119 min,"Dramas, International Movies, LGBTQ Movies","In 1901 Spain, Elisa Sánchez Loriga adopts a male identity in order to marry the woman she loves, Marcela Gracia Ibeas. Based on true events.",True,"['Dramas', 'International Movies', 'LGBTQ Movies']"
s3767,Movie,Pachamama,Juan Antin,"Adam Moussamih, Charli Birdgenau, Vlastra Vrana, Sonja Ball, Alexandre Harough","France, Luxembourg, Canada","June 7, 2019",2019,PG,71 min,Children & Family Movies,"When a sacred statue is taken from his Andean village, a spirited boy who dreams of becoming a shaman goes on a brave mission to get it back.",True,['Children & Family Movies']
s3768,Movie,Rock My Heart,Hanno Olderdissen,"Lena Klenke, Dieter Hallervorden, Emilio Sakraya, Annette Frier, Milan Peschel, Vedat Erincin, Johann von Bülow, Michael Lott, Hans Martin Stier, Anneke Kim Sarnau",Germany,"June 7, 2019",2019,TV-PG,110 min,"Children & Family Movies, Dramas, International Movies","After an adventurous teen with a heart defect bonds with an unruly stallion, she trains to compete as an amateur jockey in a life-threatening race.",True,"['Children & Family Movies', 'Dramas', 'International Movies']"
s3773,Movie,Alles ist gut,Eva Trobisch,"Aenne Schwarz, Andreas Döhler, Hans Löw, Tilo Nest, Lina Wendel, Lisa Hagmeister",Germany,"June 6, 2019",2019,TV-MA,90 min,"Dramas, International Movies","A woman sexually assaulted by her new boss's brother-in-law tries to move on as if nothing happened, but the night weighs heavily on her mind and body.",True,"['Dramas', 'International Movies']"
s3775,TV Show,Black Mirror,,"Jesse Plemons, Cristin Milioti, Jimmi Simpson, Rosemarie DeWitt, Douglas Hodge, Andrea Riseborough, Brenna Harding, Owen Teague, Andrew Gower, Kiran Sonia Sawar, Georgina Campbell, Joe Cole, Maxine Peake, Jake Davies, Clint Dyer, Letitia Wright, Babs Olusanmokun, Bryce Dallas Howard, Alice Eve, Michael Kelly, Cherry Jones, Gugu Mbatha-Raw, Mackenzie Davis, Wyatt Russell, Benedict Wong, Kelly Macdonald, Faye Marsay, Madeline Brewer, Hannah John-Kamen, Malachi Kirby, Alex Lawther, Jerome Flynn, James Norton, Rory Kinnear, Lindsay Duncan, Daniel Kaluuya, Jessica Brown Findlay, Rupert Everett, Toby Kebbell, Jodie Whittaker, Hayley Atwell, Domhnall Gleeson, Lenora Crichlow, Michael Smiley, Daniel Rigby, Chloe Pirrie, Jason Flemyng, Jon Hamm, Oona Chaplin, Rafe Spall",United Kingdom,"June 5, 2019",2019,TV-MA,5 Seasons,"British TV Shows, International TV Shows, TV Dramas","This sci-fi anthology series explores a twisted, high-tech near-future where humanity's greatest innovations and darkest instincts collide.",True,"['British TV Shows', 'International TV Shows', 'TV Dramas']"
s3776,Movie,Cosmos Laundromat: First Cycle,Mathieu Auvray,"Pierre Bokma, Reinout Scholten van Aschat",Netherlands,"June 4, 2019",2015,TV-MA,12 min,"Dramas, International Movies, Sci-Fi & Fantasy","Despondent on a desolate island, a suicidal sheep is thrown a lifeline by a quirky salesman, who offers him the gift of a lifetime.",True,"['Dramas', 'International Movies', 'Sci-Fi & Fantasy']"
s3786,Movie,"Oh, Ramona!",Cristina Jacob,"Bogdan Iancu, Aggy K. Adams, Holly Horne, Basil Eidenbenz, Melanie Ebanks, Leonardo Boudreau, Andromeda Godfrey",Romania,"June 1, 2019",2019,TV-MA,109 min,"Comedies, International Movies",Awkward 16-year-old Andrei is infatuated with his alluring but aloof schoolmate Ramona – until he meets stunning hotel clerk Anemona while on vacation.,True,"['Comedies', 'International Movies']"
s3798,Movie,Joy,Sudabeh Mortezai,"Anwulika Alphonsus, Mariam Precious Sanusi, Angela Ekeleme",Austria,"May 24, 2019",2019,TV-MA,101 min,"Dramas, Independent Movies, International Movies","Close to paying off her debts, a Nigerian sex worker in Austria coaches a reluctant novice, and assesses the risks of taking a faster path to freedom.",True,"['Dramas', 'Independent Movies', 'International Movies']"
s3811,Movie,Born in Syria,Hernán Zin,,"Denmark, Spain","May 17, 2019",2016,TV-14,87 min,"Documentaries, International Movies",This intimate documentary follows a group of Syrian children refugees who narrowly escape a life of torment and integrate into a foreign land.,True,"['Documentaries', 'International Movies']"
s3812,Movie,Dying to Tell,Hernán Zin,,Spain,"May 17, 2019",2018,TV-MA,88 min,"Documentaries, International Movies","Seeking answers after a life-changing incident in 2012, filmmaker Hernán Zin interviews other war reporters about the personal toll of their work.",True,"['Documentaries', 'International Movies']"
s3816,Movie,Saverio Raimondo: Il Satiro Parlante,Francesco Imperato,Saverio Raimondo,Italy,"May 17, 2019",2019,TV-MA,53 min,Stand-Up Comedy,"Italian comic and satirist Saverio Raimondo regales a Milan crowd with tales of online antics, awkward injuries and white-knuckle flights.",True,['Stand-Up Comedy']
s3818,TV Show,White Gold,,"Ed Westwick, James Buckley, Joe Thomas, Lauren O'Rourke, Linzey Cocker, Nigel Lindsay, Lloyd Hutchinson, Lee Ross",United Kingdom,"May 17, 2019",2019,TV-MA,2 Seasons,"British TV Shows, International TV Shows, TV Comedies","In 1980s Essex, cocky salesman Vincent Swan and his unscrupulous team will do anything to get the sale – including throwing honesty out the window.",True,"['British TV Shows', 'International TV Shows', 'TV Comedies']"
s3821,Movie,PATRICK (2019),Mandie Fletcher,"Beattie Edmondson, Ed Skrein, Tom Bennett, Jennifer Saunders",United Kingdom,"May 16, 2019",2019,TV-PG,94 min,"Children & Family Movies, Comedies","When a schoolteacher inherits an adorable pug, she has to find a way to take care of it while dealing with her flatlining love life.",True,"['Children & Family Movies', 'Comedies']"
s3822,TV Show,Dennis and Gnasher Unleashed,,"Freddie Fox, Kathryn Drysdale, Rasmus Hardiker, Joanna Ruiz, Ryan Sampson, Kelly Marie Stewart",United Kingdom,"May 15, 2019",2017,TV-Y,1 Season,"British TV Shows, Kids' TV, TV Comedies","Fearless Dennis, his loyal dog Gnasher and best friends Rubi, JJ and Pieface quench their thirst for adventure by wreaking havoc all over Beanotown.",True,"['British TV Shows', ""Kids' TV"", 'TV Comedies']"
s3834,Movie,Shéhérazade,Jean-Bernard Marlin,"Dylan Robert, Kenza Fortas, Idir Azougli, Lisa Amedjout, Sofia Bent, Nabila Bounad, Kader Benchoudar, Nabila Ait Amer",France,"May 11, 2019",2019,TV-MA,111 min,"Dramas, Independent Movies, International Movies","Fresh out of juvenile detention in Marseille, 17-year-old Zach falls for a young prostitute and soon faces a dire dilemma while working as a pimp.",True,"['Dramas', 'Independent Movies', 'International Movies']"
s3837,Movie,In Family I Trust,Patricia Font,"Clara Lago, Álex García, Carmen Maura, Alexandra Jiménez, Paula Malia, Fernando Guallar, Carlos Cuevas",Spain,"May 10, 2019",2018,TV-MA,98 min,"Comedies, Dramas, International Movies","After her partner cheats on her, an architect returns to her hometown to reassess her life with the help of her eccentric family. Based on the novel.",True,"['Comedies', 'Dramas', 'International Movies']"
s3855,TV Show,In the Bosom of a Thorn,,"Elham Al Fadalah, Ibrahim Al-Harbi, Khaled Al-Buraiki, Layla Abdullah, Noor Alghandour, Abeer Ahmad",Kuwait,"May 7, 2019",2019,TV-14,1 Season,"International TV Shows, TV Dramas","After the invasion of Kuwait, a woman’s infant daughter is taken from her. Now, her daughter looks to make her way back home years later.",True,"['International TV Shows', 'TV Dramas']"
s3856,TV Show,The Writer,,"Bassel Khayyat, Daniella Rahme, Nada Abou Farhat, Nicolas Daniel, Gabriel Yammine",Lebanon,"May 7, 2019",2019,TV-14,1 Season,"Crime TV Shows, International TV Shows, TV Dramas","When accused of a murder eerily parallel to a plot in his novel, a best-selling crime writer must navigate a web of hidden enemies.",True,"['Crime TV Shows', 'International TV Shows', 'TV Dramas']"
s3858,Movie,Last Breath,"Alex Parkinson, Richard da Costa",,"United Kingdom, Belgium, Sweden","May 6, 2019",2019,TV-MA,86 min,"Documentaries, International Movies","A commercial diver becomes trapped on the ocean floor with dwindling oxygen and little hope of a timely rescue, so he tries to save himself.",True,"['Documentaries', 'International Movies']"
s3863,Movie,Despite Everything,Gabriela Tagliavini,"Blanca Suárez, Macarena García, Amaia Salamanca, Belén Cuesta, Maxi Iglesias, Juan Diego, Joaquín Climent, Carlos Bardem, Emilio Gutiérrez Caba, Tito Valverde, Teresa Rabal, Rossy de Palma, Marisa Paredes",Spain,"May 3, 2019",2019,TV-MA,79 min,"Comedies, International Movies, Romantic Movies","After their mother's death, four sisters learn a shocking family secret and embark on an adventure to discover the truth about their genealogy.",True,"['Comedies', 'International Movies', 'Romantic Movies']"
s3865,TV Show,Flinch,,"Desiree Burch, Lloyd Griffith, Seann Walsh",United Kingdom,"May 3, 2019",2019,TV-PG,1 Season,Reality TV,"Harrowing and hilarious tests await the brave and foolhardy, as well as the judges, in this comedy game show. If they flinch, they feel the pain.",True,['Reality TV']
s3872,Movie,John & Yoko: Above Us Only Sky,Michael Epstein,"John Lennon, Yoko Ono",United Kingdom,"May 1, 2019",2018,TV-MA,90 min,"Documentaries, Music & Musicals","Featuring interviews and never-before-seen footage, this film tells the story behind John Lennon and Yoko Ono’s seminal 1971 album, “Imagine.”",True,"['Documentaries', 'Music & Musicals']"
s3890,Movie,Money Trap,Yılmaz Erdoğan,"Yılmaz Erdoğan, Kıvanç Tatlıtuğ, Ezgi Mola, Bensu Soral, Rıza Kocaoğlu, Okan Çabalar, Güven Kıraç, Ahmet Mümtaz Taylan",Turkey,"April 26, 2019",2019,TV-MA,122 min,"Comedies, Dramas, International Movies","When his daughter and son-in-law fall prey to a scam, Istanbul con man Asım Noyan meets his match in a madcap kingpin of an underground gambling world.",True,"['Comedies', 'Dramas', 'International Movies']"
